"airplaneID","AirlineID","airplaneType"
10000,"2B","CR2"
10001,"2B","CR2"
10002,"2B","CR2"
10003,"2B","CR2"
10004,"2B","CR2"
10005,"2B","CR2"
10006,"2B","CR2"
10007,"2B","CR2"
10008,"2B","CR2"
10009,"2B","CR2"
10010,"2B","CR2"
10011,"2B","CR2"
10012,"2B","CR2"
10013,"2B","CR2"
10014,"2B","CR2"
10015,"2B","CR2"
10016,"2B","CR2"
10017,"2B","CR2"
10018,"2B","CR2"
10019,"2B","CR2"
10020,"2B","CR2"
10021,"2B","CR2"
10022,"2B","CR2"
10023,"2B","CR2"
10024,"2B","CR2"
10025,"2B","CR2"
10026,"2B","CR2"
10027,"2B","CR2"
10028,"2B","CR2"
10029,"2B","CR2"
10030,"2B","CR2"
10031,"2B","CR2"
10032,"2B","CR2"
10033,"2B","CR2"
10034,"2B","CR2"
10035,"2B","CR2"
10036,"2B","CR2"
10037,"2B","CR2"
10038,"2B","CR2"
10039,"2B","CR2"
10040,"2B","CR2"
10041,"2B","CR2"
10042,"2G","A81"
10043,"2G","A81"
10044,"2G","A81"
10045,"2G","AN4"
10046,"2G","A81"
10047,"2G","AN4"
10048,"2G","AN4"
10049,"2G","AN4"
10050,"2G","A81"
10051,"2G","AN4"
10052,"2G","AN4"
10053,"2G","A81"
10054,"2G","AN4"
10055,"2G","A81"
10056,"2G","AN4"
10057,"2G","A81"
10058,"2G","A81"
10059,"2G","A81"
10060,"2G","AN4"
10061,"2G","AN4"
10062,"2G","A81"
10063,"2I","142"
10064,"2I","142 141"
10065,"2I","142"
10066,"2I","141"
10067,"2I","143"
10068,"2I","142"
10069,"2I","142"
10070,"2I","142 141"
10071,"2I","141"
10072,"2I","143 146"
10073,"2I","142 146"
10074,"2I","143"
10075,"2I","143 146"
10076,"2I","146"
10077,"2I","142"
10078,"2I","142"
10079,"2I","142 146"
10080,"2I","146"
10081,"2J","CRJ"
10082,"2J","E70 CRJ M87"
10083,"2J","CRJ"
10084,"2J","M87"
10085,"2J","M87"
10086,"2J","CRJ"
10087,"2J","CRJ"
10088,"2J","CRJ"
10089,"2J","M87"
10090,"2J","M87"
10091,"2J","M87"
10092,"2J","M87"
10093,"2J","M87 CRJ"
10094,"2J","CRJ"
10095,"2J","E70 CRJ M87"
10096,"2J","CRJ"
10097,"2J","M87 CRJ"
10098,"2J","CRJ"
10099,"2J","M87"
10100,"2J","M87"
10101,"2J","CRJ"
10102,"2J","CRJ"
10103,"2K","319"
10104,"2K","319 320"
10105,"2K","319"
10106,"2K","319"
10107,"2K","319"
10108,"2K","319 320"
10109,"2K","320 319"
10110,"2K","319"
10111,"2K","319 320"
10112,"2K","319 320"
10113,"2K","319"
10114,"2K","319"
10115,"2L","100"
10116,"2L","100"
10117,"2L","100"
10118,"2L","319"
10119,"2L","319"
10120,"2L","319"
10121,"2L","319"
10122,"2L","319"
10123,"2L","100"
10124,"2L","100"
10125,"2L","100"
10126,"2L","319"
10127,"2L","319"
10128,"2L","319"
10129,"2N","ATP"
10130,"2N","ATP"
10131,"2N","SF3"
10132,"2N","ATP SF3"
10133,"2N","ATP"
10134,"2N","SF3"
10135,"2N","ATP"
10136,"2N","SF3"
10137,"2N","ATR"
10138,"2N","SF3"
10139,"2N","SF3"
10140,"2N","SF3 ATP"
10141,"2N","SF3"
10142,"2N","SF3"
10143,"2N","ATP"
10144,"2N","ATP"
10145,"2N","SF3 ATP"
10146,"2N","ATP SF3"
10147,"2N","SF3"
10148,"2N","SF3"
10149,"2N","ATP SF3"
10150,"2N","ATP SF3"
10151,"2N","SF3"
10152,"2N","ATP"
10153,"2N","ATP"
10154,"2N","SF3"
10155,"2N","ATP"
10156,"2N","ATP"
10157,"2N","SF3"
10158,"2N","SF3"
10159,"2N","ATR"
10160,"2N","SF3"
10161,"2N","SF3"
10162,"2N","SF3"
10163,"2N","SF3"
10164,"2N","SF3"
10165,"2N","SF3 ATP"
10166,"2N","SF3"
10167,"2N","SF3"
10168,"2N","SF3"
10169,"2N","SF3"
10170,"2O","BNI"
10171,"2O","BNI"
10172,"2O","BNI"
10173,"2O","BNI"
10174,"2O","BNI"
10175,"2O","BNI"
10176,"2O","BNI"
10177,"2O","BNI"
10178,"2O","BNI"
10179,"2O","BNI"
10180,"2P","DH4"
10181,"2P","320"
10182,"2P","320"
10183,"2P","320"
10184,"2P","DH4"
10185,"2P","320"
10186,"2P","330"
10187,"2P","320"
10188,"2P","320"
10189,"2P","320"
10190,"2P","DH4"
10191,"2P","320"
10192,"2P","320"
10193,"2P","320"
10194,"2P","DH4"
10195,"2P","320"
10196,"2P","330"
10197,"2P","320"
10198,"2P","320"
10199,"2P","320"
10200,"2P","DH3"
10201,"2P","320"
10202,"2P","320"
10203,"2P","320"
10204,"2P","DH4"
10205,"2P","DH4"
10206,"2P","320"
10207,"2P","DH3"
10208,"2P","320"
10209,"2P","320"
10210,"2P","320"
10211,"2P","DH4"
10212,"2P","DH4"
10213,"2P","320"
10214,"2Z","AT7"
10215,"2Z","AT7"
10216,"2Z","AT7"
10217,"2Z","AT7"
10218,"2Z","AT7"
10219,"2Z","AT7"
10220,"2Z","AT7"
10221,"2Z","AT7"
10222,"2Z","AT7"
10223,"2Z","AT7"
10224,"2Z","AT7"
10225,"2Z","AT7"
10226,"2Z","AT7"
10227,"2Z","AT7"
10228,"2Z","AT7"
10229,"2Z","AT7"
10230,"2Z","AT7"
10231,"2Z","AT7"
10232,"2Z","AT7"
10233,"2Z","AT7"
10234,"2Z","AT7"
10235,"2Z","AT7"
10236,"2Z","AT7"
10237,"2Z","AT7"
10238,"2Z","AT7"
10239,"2Z","AT7"
10240,"2Z","AT7"
10241,"2Z","AT7"
10242,"2Z","AT7"
10243,"2Z","AT7"
10244,"2Z","AT7"
10245,"2Z","AT7"
10246,"2Z","AT7"
10247,"2Z","AT7"
10248,"2Z","AT7"
10249,"2Z","AT7"
10250,"2Z","AT7"
10251,"2Z","AT7"
10252,"2Z","AT7"
10253,"2Z","AT7"
10254,"2Z","AT7"
10255,"2Z","AT7"
10256,"2Z","AT7"
10257,"2Z","AT7"
10258,"2Z","AT7"
10259,"2Z","AT7"
10260,"3E","CNC"
10261,"3E","CNC"
10262,"3E","CNC"
10263,"3E","CNC"
10264,"3E","CNC"
10265,"3E","CNC"
10266,"3E","CNC"
10267,"3E","CNC"
10268,"3E","CNC"
10269,"3E","CNC"
10270,"3F","DHP"
10271,"3F","DHP"
10272,"3F","DHP"
10273,"3F","DHP"
10274,"3F","DHP"
10275,"3F","DHP"
10276,"3F","DHP"
10277,"3F","DHP"
10278,"3F","DHP"
10279,"3F","DHP"
10280,"3F","DHP"
10281,"3F","DHP"
10282,"3G","319"
10283,"3G","319"
10284,"3G","319"
10285,"3G","319"
10286,"3G","319"
10287,"3G","319"
10288,"3G","319"
10289,"3G","319"
10290,"3G","319"
10291,"3G","319"
10292,"3G","319"
10293,"3G","319"
10294,"3G","319"
10295,"3G","319"
10296,"3G","319"
10297,"3G","319"
10298,"3G","319"
10299,"3G","319"
10300,"3G","319"
10301,"3G","319"
10302,"3G","319"
10303,"3G","319"
10304,"3G","319"
10305,"3G","319"
10306,"3G","319"
10307,"3G","319"
10308,"3G","319"
10309,"3G","319"
10310,"3G","319"
10311,"3G","319"
10312,"3H","DH8"
10313,"3H","DH8"
10314,"3H","DHT BET"
10315,"3H","DHT"
10316,"3H","73M"
10317,"3H","73M"
10318,"3H","DHT"
10319,"3H","BET"
10320,"3H","DH8"
10321,"3H","DH8"
10322,"3H","DH8"
10323,"3H","DH8"
10324,"3H","DH8"
10325,"3H","DH8"
10326,"3H","DHT DH8"
10327,"3H","DH8"
10328,"3H","DH8 DHT"
10329,"3H","DH8"
10330,"3H","DH8 BET"
10331,"3H","BET"
10332,"3H","BET DH8"
10333,"3H","DH8 BET"
10334,"3H","DH8"
10335,"3H","BET"
10336,"3H","DHT DH8"
10337,"3H","DHT DH8"
10338,"3H","DHT"
10339,"3H","DH8"
10340,"3H","73M"
10341,"3H","DH8"
10342,"3H","BET"
10343,"3H","DH8"
10344,"3H","DH8"
10345,"3H","DH8"
10346,"3H","DH8"
10347,"3H","DH8"
10348,"3H","DH8"
10349,"3H","DHT DH8"
10350,"3H","DHT DH8"
10351,"3H","DH8"
10352,"3H","DH8"
10353,"3H","DH8"
10354,"3H","73M"
10355,"3H","DH8"
10356,"3H","DH8"
10357,"3H","DH8"
10358,"3H","DH8"
10359,"3H","DH8"
10360,"3H","DHT BET"
10361,"3H","BET"
10362,"3H","DH8"
10363,"3H","DH8 BET"
10364,"3H","BET"
10365,"3H","DHT"
10366,"3H","BET"
10367,"3H","DHT DH8"
10368,"3H","DH8"
10369,"3H","DH8"
10370,"3H","BET"
10371,"3H","BET"
10372,"3H","DH8"
10373,"3H","DH8"
