airplaneID AirlineID fromAirport toAirport
1 10000 2B AER KZN
2 10001 2B ASF KZN
3 10002 2B ASF MRV
4 10003 2B CEK KZN
5 10004 2B CEK OVB
6 10005 2B DME KZN
7 10006 2B DME NBC
8 10007 2B DME TGK
9 10008 2B DME UUA
10 10009 2B EGO KGD
11 10010 2B EGO KZN
12 10011 2B GYD NBC
13 10012 2B KGD EGO
14 10013 2B KZN AER
15 10014 2B KZN ASF
16 10015 2B KZN CEK
17 10016 2B KZN DME
18 10017 2B KZN EGO
19 10018 2B KZN LED
20 10019 2B KZN SVX
21 10020 2B LED KZN
22 10021 2B LED NBC
23 10022 2B LED UUA
24 10023 2B MRV ASF
25 10024 2B NBC DME
26 10025 2B NBC GYD
27 10026 2B NBC LED
28 10027 2B NBC SVX
29 10028 2B NJC SVX
30 10029 2B NJC UUA
31 10030 2B NUX SVX
32 10031 2B OVB CEK
33 10032 2B OVB SVX
34 10033 2B SVX KZN
35 10034 2B SVX NBC
36 10035 2B SVX NJC
37 10036 2B SVX NUX
38 10037 2B SVX OVB
39 10038 2B TGK DME
40 10039 2B UUA DME
41 10040 2B UUA LED
42 10041 2B UUA NJC
43 10042 2G BTK IKT
44 10043 2G BTK OVB
45 10044 2G CEK OVB
46 10045 2G HTA IKT
47 10046 2G IKT BTK
48 10047 2G IKT HTA
49 10048 2G IKT KCK
50 10049 2G IKT ODO
51 10050 2G IKT OVB
52 10051 2G IKT UKX
53 10052 2G IKT ULK
54 10053 2G IKT YKS
55 10054 2G KCK IKT
56 10055 2G MJZ OVB
57 10056 2G ODO IKT
58 10057 2G OVB BTK
59 10058 2G OVB CEK
60 10059 2G OVB IKT
61 10060 2G UKX IKT
62 10061 2G ULK IKT
63 10062 2G YKS IKT
64 10063 2I AYP LIM
65 10064 2I CUZ LIM
66 10065 2I CUZ PEM
67 10066 2I HUU LIM
68 10067 2I IQT PCL
69 10068 2I IQT TPP
70 10069 2I LIM AYP
71 10070 2I LIM CUZ
72 10071 2I LIM HUU
73 10072 2I LIM PCL
74 10073 2I LIM TPP
75 10074 2I PCL IQT
76 10075 2I PCL LIM
77 10076 2I PCL TPP
78 10077 2I PEM CUZ
79 10078 2I TPP IQT
80 10079 2I TPP LIM
81 10080 2I TPP PCL
82 10081 2J ABJ BOY
83 10082 2J ABJ OUA
84 10083 2J ACC OUA
85 10084 2J BKO ABJ
86 10085 2J BKO DKR
87 10086 2J BKO OUA
88 10087 2J BOY ABJ
89 10088 2J BOY OUA
90 10089 2J COO LFW
91 10090 2J COO OUA
92 10091 2J DKR BKO
93 10092 2J DKR OUA
94 10093 2J LFW OUA
95 10094 2J NIM OUA
96 10095 2J OUA ABJ
97 10096 2J OUA ACC
98 10097 2J OUA BKO
99 10098 2J OUA BOY
100 10099 2J OUA COO
101 10100 2J OUA DKR
102 10101 2J OUA LFW
103 10102 2J OUA NIM
104 10103 2K BOG GYE
105 10104 2K BOG UIO
106 10105 2K CLO GYE
107 10106 2K GYE BOG
108 10107 2K GYE CLO
109 10108 2K GYE SCY
110 10109 2K GYE UIO
111 10110 2K OCC UIO
112 10111 2K SCY GYE
113 10112 2K UIO BOG
114 10113 2K UIO GYE
115 10114 2K UIO OCC
116 10115 2L BDS ZRH
117 10116 2L BOD ZRH
118 10117 2L BRS ZRH
119 10118 2L GVA LPA
120 10119 2L LCA ZRH
121 10120 2L LPA ZRH
122 10121 2L RMF ZRH
123 10122 2L TFS GVA
124 10123 2L ZRH BDS
125 10124 2L ZRH BOD
126 10125 2L ZRH BRS
127 10126 2L ZRH LCA
128 10127 2L ZRH LPA
129 10128 2L ZRH RMF
130 10129 2N AJR LYC
131 10130 2N ARN GEV
132 10131 2N ARN HAD
133 10132 2N ARN JKG
134 10133 2N ARN KRF
135 10134 2N ARN KSD
136 10135 2N ARN LYC
137 10136 2N ARN MHQ
138 10137 2N ARN OER
139 10138 2N ARN POR
140 10139 2N ARN TRF
141 10140 2N ARN VBY
142 10141 2N ARN VHM
143 10142 2N ARN VXO
144 10143 2N GEV ARN
145 10144 2N GEV KRF
146 10145 2N HAD ARN
147 10146 2N HAD JKG
148 10147 2N HAD VXO
149 10148 2N HMV VHM
150 10149 2N JKG ARN
151 10150 2N JKG HAD
152 10151 2N KOK POR
153 10152 2N KRF ARN
154 10153 2N KRF GEV
155 10154 2N KSD ARN
156 10155 2N LYC AJR
157 10156 2N LYC ARN
158 10157 2N MHQ ARN
159 10158 2N MHQ TKU
160 10159 2N OER ARN
161 10160 2N OSL VXO
162 10161 2N POR ARN
163 10162 2N POR KOK
164 10163 2N TKU MHQ
165 10164 2N TRF ARN
166 10165 2N VBY ARN
167 10166 2N VHM ARN
168 10167 2N VHM HMV
169 10168 2N VXO ARN
170 10169 2N VXO OSL
171 10170 2O ADQ AOS
172 10171 2O ADQ KKB
173 10172 2O ADQ KLN
174 10173 2O ADQ KOZ
175 10174 2O ADQ OLH
176 10175 2O AOS KZB
177 10176 2O KKB SYB
178 10177 2O KLN KYK
179 10178 2O KOZ ORI
180 10179 2O SYB KPR
181 10180 2P BSO MNL
182 10181 2P BXU MNL
183 10182 2P CBO MNL
184 10183 2P CGY MNL
185 10184 2P CRM MNL
186 10185 2P DGT MNL
187 10186 2P DWC MNL
188 10187 2P GES MNL
189 10188 2P KLO MNL
190 10189 2P LGP MNL
191 10190 2P MNL BSO
192 10191 2P MNL BXU
193 10192 2P MNL CBO
194 10193 2P MNL CGY
195 10194 2P MNL CRM
196 10195 2P MNL DGT
197 10196 2P MNL DWC
198 10197 2P MNL GES
199 10198 2P MNL KLO
200 10199 2P MNL LGP
201 10200 2P MNL MPH
202 10201 2P MNL OZC
203 10202 2P MNL PPS
204 10203 2P MNL RXS
205 10204 2P MNL SUG
206 10205 2P MNL TUG
207 10206 2P MNL ZAM
208 10207 2P MPH MNL
209 10208 2P OZC MNL
210 10209 2P PPS MNL
211 10210 2P RXS MNL
212 10211 2P SUG MNL
213 10212 2P TUG MNL
214 10213 2P ZAM MNL
215 10214 2Z AUX PMW
216 10215 2Z BRA BSB
217 10216 2Z BRA SSA
218 10217 2Z BSB BRA
219 10218 2Z BSB OPS
220 10219 2Z BSB RAO
221 10220 2Z CAC GRU
222 10221 2Z CGB GYN
223 10222 2Z CGB OPS
224 10223 2Z CGR DOU
225 10224 2Z DOU CGR
226 10225 2Z DOU GRU
227 10226 2Z GIG RAO
228 10227 2Z GRU CAC
229 10228 2Z GRU DOU
230 10229 2Z GRU RAO
231 10230 2Z GRU UBA
232 10231 2Z GRU UDI
233 10232 2Z GRU VDC
234 10233 2Z GYN CGB
235 10234 2Z GYN PMW
236 10235 2Z GYN RAO
237 10236 2Z GYN UDI
238 10237 2Z OPS BSB
239 10238 2Z OPS CGB
240 10239 2Z PLU RAO
241 10240 2Z PMW AUX
242 10241 2Z PMW GYN
243 10242 2Z RAO BSB
244 10243 2Z RAO GIG
245 10244 2Z RAO GRU
246 10245 2Z RAO GYN
247 10246 2Z RAO PLU
248 10247 2Z RAO SJP
249 10248 2Z RAO UDI
250 10249 2Z SJP RAO
251 10250 2Z SSA BRA
252 10251 2Z SSA VDC
253 10252 2Z UBA GRU
254 10253 2Z UBA UDI
255 10254 2Z UDI GRU
256 10255 2Z UDI GYN
257 10256 2Z UDI RAO
258 10257 2Z UDI UBA
259 10258 2Z VDC GRU
260 10259 2Z VDC SSA
261 10260 3E BRL ORD
262 10261 3E BRL STL
263 10262 3E DEC ORD
264 10263 3E DEC STL
265 10264 3E JBR STL
266 10265 3E ORD BRL
267 10266 3E ORD DEC
268 10267 3E STL BRL
269 10268 3E STL DEC
270 10269 3E STL JBR
271 10270 3F CGA HYL
272 10271 3F CGA KTN
273 10272 3F HYL CGA
274 10273 3F HYL KTB
275 10274 3F HYL KTN
276 10275 3F KTB HYL
277 10276 3F KTB KTN
278 10277 3F KTN CGA
279 10278 3F KTN HYL
280 10279 3F KTN KTB
281 10280 3F KTN MTM
282 10281 3F MTM KTN
283 10282 3G ACC DKR
284 10283 3G ACC LOS
285 10284 3G ACC ROB
286 10285 3G BCN BJL
287 10286 3G BJL BCN
288 10287 3G BJL DKR
289 10288 3G BJL FNA
290 10289 3G CKY OXB
291 10290 3G DKR ACC
292 10291 3G DKR BJL
293 10292 3G DKR DLA
294 10293 3G DKR FNA
295 10294 3G DKR LOS
296 10295 3G DKR OXB
297 10296 3G DLA DKR
298 10297 3G DLA LOS
299 10298 3G FNA BJL
300 10299 3G FNA DKR
301 10300 3G FNA LGW
302 10301 3G FNA ROB
303 10302 3G LGW FNA
304 10303 3G LOS ACC
305 10304 3G LOS DKR
306 10305 3G LOS DLA
307 10306 3G LOS ROB
308 10307 3G OXB CKY
309 10308 3G OXB DKR
310 10309 3G ROB ACC
311 10310 3G ROB FNA
312 10311 3G ROB LOS
313 10312 3H AKV YIK
314 10313 3H AKV YPX
315 10314 3H XGR YVP
316 10315 3H YGL YGW
317 10316 3H YGL YPX
318 10317 3H YGL YUL
319 10318 3H YGW YGL
320 10319 3H YGW YPH
321 10320 3H YGW YSK
322 10321 3H YGW YUD
323 10322 3H YGW YUL
324 10323 3H YGW YUY
325 10324 3H YIK AKV
326 10325 3H YIK YZG
327 10326 3H YKG YPJ
328 10327 3H YKG YQC
329 10328 3H YKG YVP
330 10329 3H YKL YQB
331 10330 3H YKL YVP
332 10331 3H YKL YWK
333 10332 3H YKL YZV
334 10333 3H YPH YPX
335 10334 3H YPH YUD
336 10335 3H YPH YVP
337 10336 3H YPJ YKG
338 10337 3H YPJ YTQ
339 10338 3H YPJ YVP
340 10339 3H YPX AKV
341 10340 3H YPX YGL
342 10341 3H YPX YPH
343 10342 3H YPX YVP
344 10343 3H YQB YKL
345 10344 3H YQB YUL
346 10345 3H YQC YKG
347 10346 3H YQC YWB
348 10347 3H YSK YGW
349 10348 3H YSK YUD
350 10349 3H YTQ YPJ
351 10350 3H YTQ YVP
352 10351 3H YUD YGW
353 10352 3H YUD YPH
354 10353 3H YUD YSK
355 10354 3H YUL YGL
356 10355 3H YUL YGW
357 10356 3H YUL YQB
358 10357 3H YUL YUY
359 10358 3H YUY YGW
360 10359 3H YUY YUL
361 10360 3H YVP XGR
362 10361 3H YVP YGW
363 10362 3H YVP YKG
364 10363 3H YVP YKL
365 10364 3H YVP YPH
366 10365 3H YVP YPJ
367 10366 3H YVP YPX
368 10367 3H YVP YTQ
369 10368 3H YWB YQC
370 10369 3H YWB YZG
371 10370 3H YWK YKL
372 10371 3H YWK YZV
373 10372 3H YZG YIK
374 10373 3H YZG YWB
375 10374 3H YZV YKL
376 10375 3H YZV YWK
377 10376 3J JIB DXB
378 10377 3J JIB JED
379 10378 3J JIB MGQ
380 10379 3J MGQ NBO
381 10380 3J NBO MGQ
382 10381 3K BKK SIN
383 10382 3K DRW SIN
384 10383 3K HAK SIN
385 10384 3K HGH SIN
386 10385 3K HKG SIN
387 10386 3K HKT SIN
388 10387 3K KIX MNL
389 10388 3K KIX TPE
390 10389 3K KUL SIN
391 10390 3K MNL KIX
392 10391 3K MNL SIN
393 10392 3K PEN SIN
394 10393 3K PER SIN
395 10394 3K PNH SIN
396 10395 3K REP SIN
397 10396 3K RGN SIN
398 10397 3K SGN SIN
399 10398 3K SIN BKK
400 10399 3K SIN DRW
401 10400 3K SIN HAK
402 10401 3K SIN HGH
403 10402 3K SIN HKG
404 10403 3K SIN HKT
405 10404 3K SIN KUL
406 10405 3K SIN MNL
407 10406 3K SIN PEN
408 10407 3K SIN PER
409 10408 3K SIN PNH
410 10409 3K SIN REP
411 10410 3K SIN RGN
412 10411 3K SIN SGN
413 10412 3K SIN SWA
414 10413 3K SIN TPE
415 10414 3K SWA SIN
416 10415 3K TPE KIX
417 10416 3K TPE SIN
418 10417 3L ACH EBA
419 10418 3L DRS ZRH
420 10419 3L DUS FDH
421 10420 3L EBA ACH
422 10421 3L EBA FDH
423 10422 3L EBA MUC
424 10423 3L EBA ZRH
425 10424 3L FDH DUS
426 10425 3L FDH EBA
427 10426 3L FDH HAM
428 10427 3L FDH OLB
429 10428 3L FDH TXL
430 10429 3L FDH ZAD
431 10430 3L FMM NAP
432 10431 3L GRZ ZRH
433 10432 3L HAM FDH
434 10433 3L MUC EBA
435 10434 3L NAP FMM
436 10435 3L OLB FDH
437 10436 3L SZG ZRH
438 10437 3L TXL FDH
439 10438 3L ZAD FDH
440 10439 3L ZRH DRS
441 10440 3L ZRH EBA
442 10441 3L ZRH GRZ
443 10442 3L ZRH SZG
444 10443 3M ATL LWB
445 10444 3M ATL MCN
446 10445 3M ATL MEI
447 10446 3M ATL MSL
448 10447 3M ATL PIB
